Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
Mental Health Strategies to Combat the Psychological Impact of COVID-19 Beyond Paranoia and Panic,"Ho, Cyrus Sh; Chee, Cornelia Yi; Ho, Roger Cm",,2020,,"Annals of the Academy of Medicine, Singapore",49,1,01-Mar,,,12462,#11686,Ho 2020,,"Clinical aspects, diagnosis, treatment",24-03-20
Offline: COVID-19-a reckoning,"Horton, Richard",,2020,,"Lancet (London, England)",395,10228,935-935,,10.1016/S0140-6736(20)30669-3,12478,#11688,Horton 2020,,"* Narrative review; * Opinion piece; Ethics, social science, economics; Infection prevention and control",24-03-20
The Novel Coronavirus (SARS-CoV-2) Epidemic,"Hsu, Li Yang; Chia, Po Ying; Lim, Jeremy Fy",,2020,,,49,,01-Mar,,,12463,#11689,Hsu 2020,,Awaiting classification,24-03-20
[Treatment strategies for colorectal cancer patients in tumor hospitals under the background of corona virus disease 2019],"Hu, X. H.; Niu, W. B.; Zhang, J. F.; Li, B. K.; Yu, B.; Zhang, Z. Y.; Zhou, C. X.; Zhang, X. N.; Gao, Y.; Wang, G. Y.","In December 2019, a new outbreak of corona virus disease 2019 began to occur. Its pathogen is 2019-nCoV, which has the characteristics of strong infectivity and general susceptibility. The current situation of prevention and control of new coronavirus pneumonia is severe. In this context, as front-line medical workers bearing important responsibilities and pressure, while through strict management strategy, we can minimize the risk of infection exposure. By summarizing the research progress and guidelines in recent years in the fields of colorectal cancer disease screening, treatment strategies (including early colorectal cancer, locally advanced colorectal cancer, obstructive colorectal cancer, metastatic colorectal cancer and the treatment of patients after neoadjuvant therapy), the choice of medication and time limit for adjuvant therapy, the protective measures for patients undergoing emergency surgery, the re-examination of postoperative patients and the protection of medical staff, etc., authors improve treatment strategies in order to provide more choices for patients to obtain the best treatment under the severe epidemic situation of new coronavirus pneumonia. Meanwhile we hope that it can also provide more timely treatment modeling schemes for colleagues.",2020,,Zhonghua wei chang wai ke za zhi = Chinese journal of gastrointestinal surgery,23,3,201-208,32192294,10.3760/cma.j.cn.441530-20200217-00058,13707,#12779,Hu 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Thinking of treatment strategies for colorectal cancer patients in tumor hospitals under the background of coronavirus pneumonia,"HU, Xuhua; NIU, Wenbo; ZHANG, Jianfeng; LI, Baokun; YU, Bin; ZHANG, Zhenya; ZHOU, Chaoxi; ZHANG, Xuena; GAO, Yang; WANG, Guiying","In December 2019, a new outbreak of coronavirus pneumonia began to occur. Its pathogen is 2019-nCoV, which has the characteristics of strong infectivity and general susceptibility. The current situation of prevention and control of new coronavirus pneumonia is severe. In this context, as front-line medical workers bearing important responsibilities and pressure, while through strict management strategy, we can minimize the risk of infection exposure. By summarizing the research progress and guidelines in recent years in the fields of colorectal cancer disease screening, treatment strategies(including early colorectal cancer, locally advanced colorectal cancer, obstructive colorectal cancer, metastatic colorectal cancer and the treatment of patients after neoadjuvant therapy), the choice of medication and time limit for adjuvant therapy, the protective measures for patients undergoing emergency surgery, the re-examination of postoperative patients and the protection of medical staff, etc., authors improve treatment strategies in order to provide more choices for patients to obtain the best treatment under the severe epidemic situation of new coronavirus pneumonia. Meanwhile we hope that it can also provide more timely treatment modeling schemes for colleagues.",2020,,Chinese Journal of Gastrointestinal Surgery,23,3,E002-E002,,,12823,#11693,HU 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Deep Learning Localization of Pneumonia: 2019 Coronavirus (COVID-19) Outbreak,"Hurt, Brian; Kligerman, Seth; Hsiao, Albert",,2020,,Journal of Thoracic Imaging,Publish Ahead of Print,,,00005382-900000000-99441,10.1097/rti.0000000000000512,12548,#11700,Hurt 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",24-03-20
COVID-19 and Dialysis Units: What Do We Know Now and What Should We Do?,"Ikizler, T. Alp","Novel coronavirus disease (COVID-19) is a newly discovered transmissible disease caused by SARS-CoV-2 virus, primarily manifesting as an acute upper and lower respiratory tract illness that may be complicated by interstitial and alveolar pneumonia. It may also affect multiple other tissues such as the heart, digestive tract, kidneys, blood, and nervous system.1 The rapidly spreading outbreak, which first emerged in Wuhan, Hubei Province in China in December 2019 was declared a global pandemic on March 11th, 2020 by the World Health Organization (WHO). The number of individuals affected by the disease increases by the day and there are several resources that provide up-to-date epidemiological data.2 Maintenance hemodialysis (MHD) patients are at increased risk for COVID-19 and its complications for several reasons. Many MHD patients are of older age and have certain comorbid conditions such as cardiovascular disease (CVD), hypertension, diabetes, and lung disease as well as an underlying immune-compromised state that are associated with worse outcomes in patients with COVID-19.3 The logistical aspects of MHD further increase the risk of disease transmission such as recurrent physical presence at health care facilities and physical proximity of patients during hemodialysis. It is, therefore, crucial to rapidly employ appropriate preventive strategies in outpatient hemodialysis facilities. This summary is aimed at providing up-to-date scientific information about COVID-19 as it relates to MHD patients and highlighting the strategies to minimize its spread in outpatient hemodialysis facilities.[truncated]",2020,,American Journal of Kidney Diseases,,,,,10.1053/j.ajkd.2020.03.008,12500,#11701,Ikizler 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
2019 Novel Coronavirus Disease Outbreak and Molecular Genetic Characteristics of Severe Acute Respiratory Syndrome-Coronavirus-2,"Jeong, Yong Seok","The 2019 novel coronavirus disease (COVID-19) outbreaks that emerged in Wuhan city, Hubei province, have led to a formidable number of confirmed cases that resulted in >5,700 deaths globally, including 143 countries in all 6 continents. The World Health Organization declared a Public Health Emergency of International Concern with a very high level of global risk assessment. Severe acute respiratory syndrome (SARS)-coronavirus-2 (SARS-CoV-2), the agent of COVID-19, has >79% nucleotide sequence homology to SARS-CoV; therefore, both belong to the genus betacoronavirus and subgenus sarbecovirus. The S1 domains of the two appeared to share the cellular receptor ACE2, but revealed a much higher S1-ACE2 binding affinity. As seen in many other human coronaviruses, SARS-CoV-2 also shows respiratory infection, but the basic reproductive number (R₀) in transmission and the clinical latency are quite dissimilar from those of SARS- or MERS-CoVs. Many scientists infer that the time point of cross-barrier transfer from bats to mediate animals or to humans should be a rather recent event based on the full-length genome analyses obtained from the very first patients. Copy-choice polymerization, which often leads to a significant genome recombination rate in most coronaviruses, predicts the continued emergence of novel coronaviruses.",2020,,J Bacteriol Virol,50,1,01-Aug,,10.4167/jbv.2020.50.1.001,14383,#13564,Jeong 2020,,"Epidemiology; Virology, immunology",24-03-20
Inside China and COVID-19: Questions and answers,"Jiang, Rongmeng","Since the outbreak of the novel 2019 coronavirus (SARS-CoV-2) and the burgeoning pneumonia (COVID-19) incidence in Wuhan, China, I have personally examined many patients and been actively involved in the prevention and treatment process. As an infectious disease physician and witness to this human tragedy, this has led me to ask myself many questions. The most important might be: if we could relive this experience, what would we do differently? Could we reduce the case fatality rate (CFR) in the Wuhan area to roughly resemble that of other areas or the Spanish flu?",2020,,Travel Medicine and Infectious Disease,,,101640-101640,,10.1016/j.tmaid.2020.101640,12497,#11710,Jiang 2020,,* Narrative review; * Opinion piece; Infection prevention and control,24-03-20
[Ten hot issues on diagnosis and treatment of breast cancer under the outbreak of novel coronavirus pneumonia],"Jiang, Z. F.; Li, J. B.",,2020,,Zhonghua yi xue za zhi,100,10,721-723,32192284,10.3760/cma.j.cn112137-20200207-00218,13431,#12828,Jiang 2020,,Awaiting classification,24-03-20
COVID-19 can present with a rash and be mistaken for Dengue,"joob, Beuy; Wiwanitkit, Viroj","In late December 2019, several individuals withunexplained pneumonia were reported inWuhan, China. A novel coronavirus wassubsequently identified as the causative pathogenand provisionally designated 2019 novel coronavirus(2019-nCoV).1As of February 10, 2020, 42,638 casesof 2019-nCoV infection have been confirmed inChina, with 21,675 suspected cases and 1016 deaths.There are still more than 3000 confirmed cases everyday, involving people living in or visiting Wuhan,as a subsequent characteristic of human-to-humantransmission. 2019-nCoV continues to spread aroundthe world and has been reported in other countriessuch as the United States.2Hospitals in all provincesand cities across China have taken effective measuresto control the spread of 2019-nCoV.On January 24, 2020, the West China Hospital ofSichuan University temporarily shut the doorsof its dermatology outpatient department anddermatology surgery by postponing all of theelective operations and limiting to only emergencyoperations. We did not, however, completely haltthe services to some patients who need to visitthe dermatology outpatient department during the2019-nCoV outbreak. At the same time, to meet themedical requirements and reduce the flow of patientsto the skin clinic, we began free online and telephoneconsultation by providing free dermatology consulta-tions. The dermatology outpatient department in WestChina Hospital was scheduled to run on January 28,2020, mainly for critical care patients. Patients whohad made an advanced appointment for obtainingmedical service but chose not to visit received a fullrefund of registration fees.The number of dermatology outpatient clinics hasbeen drastically reduced from 8 to 4, and only 1accompanying person is allowed to enter the clinic.People entering the outpatient and inpatient buildingsmust wear masks and have their body temperaturemonitored by professionals wearing tight protectiveclothing. At the entrance of the building, anyone witha fever (body temperature$37.38C), travel history toWuhan in last 2 weeks, clear contact with residents inWuhan in last 2 weeks, or contact with people with afever would be directly sent to the fever clinic forscreening. These individuals are considered to havebeen exposed and are quarantined for 2 weeks, andpotential exposures are also asked to quarantinethemselves for 2 weeks at home.During the skin clinic, patients are not allowed totake off their masks except on indications of faciallesions. Doctors must wear masks, surgical caps,protective suits, gloves, and goggles at work; theytake off their protective equipment only after theirwork in a designated disposable area.In other respects, educational programs andactivities of West China Hospital have come to ahalt; graduate students and interns are prohibitedfrom returning to school and work. Also, West ChinaHospital established special psychologic interventioncounseling via a telephone and network platform tohelp those in need and published a psychologicprotection handbook for free download.It is uncertain to predict when the 2019-nCoV willend at the time of this writing. The West Chinahospital is still playing a powerful role in defendingagainst the epidemic outbreak and is a microcosm ofall of the countless Chinese hospitals at this moment.",2020,,Journal of the American Academy of Dermatology,,,,,10.1016/j.jaad.2020.03.036,12489,#11712,joob 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment",24-03-20
New Year and coronavirus Video consultations for covid-19,"Kim, C. J.; Greenhalgh, T.; Wherton, J.; Shaw, S.; Morrison, C.",,2020,,Journal of exercise rehabilitation BMJ (Clinical research ed.),16,1,1,32165352,10.12965/jer.2040082.041 10.1136/bmj.m998,13082,#12868,Kim 2020,,* Opinion piece; Infection prevention and control,24-03-20
Arguments in favour of remdesivir for treating SARS-CoV-2 infections,"Ko, W. C.; Rolain, J. M.; Lee, N. Y.; Chen, P. L.; Huang, C. T.; Lee, P. I.; Hsueh, P. R.",,2020,,International journal of antimicrobial agents,,,105933,32147516,10.1016/j.ijantimicag.2020.105933,12904,#12881,Ko 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",24-03-20
How Should the Rehabilitation Community Prepare for 2019-nCoV? Are We Ready for Coronavirus Disease 2019 Arriving at Schools?,"Koh, G. C.; Hoenig, H.; Choe, Y. J.; Choi, E. H.","With the 2019-nCoV pandemic spreading quickly in USA and the world, it is urgent that the rehabilitation community quickly understands the epidemiology of the virus and what we can and must do to face this microbial adversary at the early stages of this likely long global pandemic. The 2019-nCoV is a novel virus so the majority of world's population does not have prior immunity to it. It is more infectious and fatal than seasonal influenza, and definitive treatment and a vaccine are months away. Our arsenal against it are currently mainly social distancing and infection control measures.",2020,,Archives of physical medicine and rehabilitation Journal of Korean medical science,35,11,e127,32193906,10.1016/j.apmr.2020.03.003 10.3346/jkms.2020.35.e127,13699,#12886,Koh 2020,,"* Narrative review; * Opinion piece; Ethics, social science, economics; Infection prevention and control",24-03-20
COVID-19: gastrointestinal symptoms and potential sources of 2019-nCoV transmission,"Kotfis, Katarzyna; Skonieczna-Żydecka, Karolina","A new type of coronavirus, i.e. se-vere acute respiratory syndrome coronavirus 2 (SARS-CoV-2; formerly known as 2019-nCoV) appeared in December 2019 in the province of Hubei, China, and over the past four months the number of cases of infection has exceeded 240,000 worldwide, leading to a pandemia [1]. At the genetic level, 2019-nCoV is closely related to the SARS-CoV and, to a lesser extent, to MERS-CoV, which appeared as epidemiological threats in recent years in China and the Middle East, respectively. Infections with the Coronaviridae virus family in a small percentage of patients, especially in those over 60 years of age with a positive clinical history, lead to severe acute respiratory syndrome [2].",2020,,Anaesthesiology intensive therapy,,,,,10.5114/ait.2020.93867,12459,#11718,Kotfis 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Virology, immunology",24-03-20
Early dynamics of transmission and control of COVID-19: a mathematical modelling study Soluble angiotensin-converting enzyme 2: a potential approach for coronavirus infection therapy?,"Kucharski, A. J.; Russell, T. W.; Diamond, C.; Liu, Y.; Edmunds, J.; Funk, S.; Eggo, R. M.; Batlle, D.; Wysocki, J.; Satchell, K.","BACKGROUND: An outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has led to 95 333 confirmed cases as of March 5, 2020. Understanding the early transmission dynamics of the infection and evaluating the effectiveness of control measures is crucial for assessing the potential for sustained transmission to occur in new areas. Combining a mathematical model of severe SARS-CoV-2 transmission with four datasets from within and outside Wuhan, we estimated how transmission in Wuhan varied between December, 2019, and February, 2020. We used these estimates to assess the potential for sustained human-to-human transmission to occur in locations outside Wuhan if cases were introduced. METHODS: We combined a stochastic transmission model with data on cases of coronavirus disease 2019 (COVID-19) in Wuhan and international cases that originated in Wuhan to estimate how transmission had varied over time during January, 2020, and February, 2020. Based on these estimates, we then calculated the probability that newly introduced cases might generate outbreaks in other areas. To estimate the early dynamics of transmission in Wuhan, we fitted a stochastic transmission dynamic model to multiple publicly available datasets on cases in Wuhan and internationally exported cases from Wuhan. The four datasets we fitted to were: daily number of new internationally exported cases (or lack thereof), by date of onset, as of Jan 26, 2020; daily number of new cases in Wuhan with no market exposure, by date of onset, between Dec 1, 2019, and Jan 1, 2020; daily number of new cases in China, by date of onset, between Dec 29, 2019, and Jan 23, 2020; and proportion of infected passengers on evacuation flights between Jan 29, 2020, and Feb 4, 2020. We used an additional two datasets for comparison with model outputs: daily number of new exported cases from Wuhan (or lack thereof) in countries with high connectivity to Wuhan (ie, top 20 most at-risk countries), by date of confirmation, as of Feb 10, 2020; and data on new confirmed cases reported in Wuhan between Jan 16, 2020, and Feb 11, 2020. FINDINGS: We estimated that the median daily reproduction number (R(t)) in Wuhan declined from 2·35 (95% CI 1·15-4·77) 1 week before travel restrictions were introduced on Jan 23, 2020, to 1·05 (0·41-2·39) 1 week after. Based on our estimates of R(t), assuming SARS-like variation, we calculated that in locations with similar transmission potential to Wuhan in early January, once there are at least four independently introduced cases, there is a more than 50% chance the infection will establish within that population. INTERPRETATION: Our results show that COVID-19 transmission probably declined in Wuhan during late January, 2020, coinciding with the introduction of travel control measures. As more cases arrive in international locations with similar transmission potential to Wuhan before these control measures, it is likely many chains of transmission will fail to establish initially, but might lead to new outbreaks eventually. FUNDING: Wellcome Trust, Health Data Research UK, Bill & Melinda Gates Foundation, and National Institute for Health Research. A new coronavirus, referred to as SARS-CoV-2, is responsible for the recent outbreak of severe respiratory disease. This outbreak first detected in Wuhan, China in December 2019, has spread to other regions of China and to 25 other countries as of January, 2020. It has been known since the 2003 SARS epidemic that the receptor critical for SARS-CoV entry into host cells is the angiotensin-converting enzyme 2 (ACE2). The S1 domain of the spike protein of SARS-CoV attaches the virus to its cellular receptor ACE2 on the host cells. We thought that it is timely to explain the connection between the SARS-CoV, SARS-CoV-2, ACE2 and the rationale for soluble ACE2 as a potential therapy.",2020,,"The Lancet. Infectious diseases Clinical science (London, England : 1979)",134,5,543-545,32167153,10.1016/s1473-3099(20)30144-4 10.1042/cs20200163,14003,#12894,Kucharski 2020,,* Epidemiological study; Epidemiology,24-03-20
COVID-19: A Global Transplant Perspective on Successfully Navigating a Pandemic,"Kumar, Deepali; Manuel, Oriol; Natori, Yoichiro; Egawa, Hiroto; Grossi, Paolo; Han, Sang-Hoon; Fernandez-Ruiz, Mario; Humar, Atul","Abstract The COVID-19 pandemic has rapidly evolved and changed our way of life in an unprecedented manner. The emergence of COVID-19 has impacted transplantation worldwide. The impact has not been just restricted to issues pertaining to donors or recipients, but also health care resource utilization as the intensity of cases in certain jurisdictions exceeds available capacity. Here we provide a personal viewpoint representing different jurisdictions from around the world in order to outline the impact of the current COVID-19 pandemic on organ transplantation. Based on our collective experience, we discuss mitigation strategies such as donor screening, resource planning and a staged approach to transplant volume considerations as local resource issues demand. We also discuss issues related to transplant-related research during the pandemic, the role of transplant infectious diseases and the influence of transplant societies for education and disseminating current information.",2020,,American Journal of Transplantation,n/a,n/a,,,10.1111/ajt.15876,12532,#11719,Kumar 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
COVID-19 OUTBREAK IN NORTHERN ITALY: VIEWPOINT OF THE MILAN AREA SURGICAL COMMUNITY,"Kurihara, Hayato; Bisagni, Pietro; Faccincani, Roberto; Zago, Mauro",,2020,,Journal of Trauma and Acute Care Surgery,Publish Ahead of Print,,,01586154-900000000-97966,10.1097/ta.0000000000002695,12547,#11720,Kurihara 2020,Qingxia Zhong (2020-03-24 23:26:36)(Screen): doi problem; ,Awaiting classification,24-03-20
Dermatology practices as vectors for COVID-19 transmission: a call for immediate cessation of non-emergent dermatolgy visits,"Kwatra, Shawn G.; Sweren, Ronald J.; Grossberg, Anna L.",,2020,,Journal of the American Academy of Dermatology,,,,,10.1016/j.jaad.2020.03.037,12488,#11721,Kwatra 2020,,* Opinion piece; Infection prevention and control,24-03-20
Drive-Through Screening Center for COVID-19: a Safe and Efficient Screening System against Massive Community Outbreak,"KWON, Ki Tae; KO, Jae Hoon; SHIN, Heejun; SUNG, Minki; KIM, Jin Yong","As the coronavirus disease 2019 (COVID-19) outbreak is ongoing, the number of individuals to be tested for COVID-19 is rapidly increasing. For safe and efficient screening for COVID-19, drive-through (DT) screening centers have been designed and implemented in Korea. Herein, we present the overall concept, advantages, and limitations of the COVID-19 DT screening centers. The steps of the DT centers include registration, examination, specimen collection, and instructions. The entire service takes about 10 minutes for one testee without leaving his or her cars. Increased testing capacity over 100 tests per day and prevention of cross-infection between testees in the waiting space are the major advantages, while protection of staff from the outdoor atmosphere is challenging. It could be implemented in other countries to cope with the global COVID-19 outbreak and transformed according to their own situations.",2020,,Journal of Korean Medical Science,35,11,123-,,,12626,#11722,KWON 2020,,"Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
"Global epidemiology of coronavirus disease 2019: disease incidence, daily cumulative index, mortality, and their association with country healthcare resources and economic status","Lai, Chih-Cheng; Wang, Cheng-Yi; Wang, Ya-Hui; Hsueh, Shun-Chung; Ko, Wen-Chien; Hsueh, Po-Ren","It has been 2 months since the first case of coronavirus disease 2019 (COVID-19) was reported in Wuhan. So far, COVID-19 has affected 84,503 patients in 57 countries/territories and caused 2,924 deaths in nine countries. However, the epidemiology data differ across countries. Although China had higher morbidity and mortality than other sites, the number of new cases per day in China is lesser than that outside of China since February 26, 2020. The incidence ranged from 61.4 per 1,000,000 people in Republic of Korea to 0.0002 per 1,000,000 people in India. The daily cumulative index (DCI) of COVID-19 (cumulative cases/no. of days between the first reported case and February 29, 2020) was greatest in China (1,320.85 per day), followed by Republic of Korea (78.78 per day), Iran (43.11 per day), and Italy (30.62 per day). However, the DCI in other countries/territories were less than 10 per day. Several effective measures including restricting travel from China, controlling the distribution of masks, extensive investigation of COVID-19 spread, and at once daily press conference by government to inform and educate people were aggressively conducted in Taiwan. This is probably the reason why there was only 39 cases (as of February 29, 2020) with a DCI of 1 case per day in Taiwan, which was much lower than that of nearby countries, such as Republic of Korea and Japan. Additionally, the incidence and mortality were correlated with DCI. However, further study and continued monitoring are needed to better understand the underlying mechanism of COVID-19.",2020,,International journal of antimicrobial agents,,,105946-105946,,10.1016/j.ijantimicag.2020.105946,12472,#11723,Lai 2020,,* Epidemiological study; Epidemiology,24-03-20
Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019,"Lai, Jianbo; Ma, Simeng; Wang, Ying; Cai, Zhongxiang; Hu, Jianbo; Wei, Ning; Wu, Jiang; Du, Hui; Chen, Tingting; Li, Ruiting; Tan, Huawei; Kang, Lijun; Yao, Lihua; Huang, Manli; Wang, Huafen; Wang, Gaohua; Liu, Zhongchun; Hu, Shaohua","<h3>Importance</h3><p>Health care workers exposed to coronavirus disease 2019 (COVID-19) could be psychologically stressed.</p><h3>Objective</h3><p>To assess the magnitude of mental health outcomes and associated factors among health care workers treating patients exposed to COVID-19 in China.</p><h3>Design, Settings, and Participants</h3><p>This cross-sectional, survey-based, region-stratified study collected demographic data and mental health measurements from 1257 health care workers in 34 hospitals from January 29, 2020, to February 3, 2020, in China. Health care workers in hospitals equipped with fever clinics or wards for patients with COVID-19 were eligible.</p><h3>Main Outcomes and Measures</h3><p>The degree of symptoms of depression, anxiety, insomnia, and distress was assessed by the Chinese versions of the 9-item Patient Health Questionnaire, the 7-item Generalized Anxiety Disorder scale, the 7-item Insomnia Severity Index, and the 22-item Impact of Event Scale–Revised, respectively. Multivariable logistic regression analysis was performed to identify factors associated with mental health outcomes.</p><h3>Results</h3><p>A total of 1257 of 1830 contacted individuals completed the survey, with a participation rate of 68.7%. A total of 813 (64.7%) were aged 26 to 40 years, and 964 (76.7%) were women. Of all participants, 764 (60.8%) were nurses, and 493 (39.2%) were physicians; 760 (60.5%) worked in hospitals in Wuhan, and 522 (41.5%) were frontline health care workers. A considerable proportion of participants reported symptoms of depression (634 [50.4%]), anxiety (560 [44.6%]), insomnia (427 [34.0%]), and distress (899 [71.5%]). Nurses, women, frontline health care workers, and those working in Wuhan, China, reported more severe degrees of all measurements of mental health symptoms than other health care workers (eg, median [IQR] Patient Health Questionnaire scores among physicians vs nurses: 4.0 [1.0-7.0] vs 5.0 [2.0-8.0];<i>P</i> = .007; median [interquartile range {IQR}] Generalized Anxiety Disorder scale scores among men vs women: 2.0 [0-6.0] vs 4.0 [1.0-7.0];<i>P</i> &lt; .001; median [IQR] Insomnia Severity Index scores among frontline vs second-line workers: 6.0 [2.0-11.0] vs 4.0 [1.0-8.0];<i>P</i> &lt; .001; median [IQR] Impact of Event Scale–Revised scores among those in Wuhan vs those in Hubei outside Wuhan and those outside Hubei: 21.0 [8.5-34.5] vs 18.0 [6.0-28.0] in Hubei outside Wuhan and 15.0 [4.0-26.0] outside Hubei;<i>P</i> &lt; .001). Multivariable logistic regression analysis showed participants from outside Hubei province were associated with lower risk of experiencing symptoms of distress compared with those in Wuhan (odds ratio [OR], 0.62; 95% CI, 0.43-0.88;<i>P</i> = .008). Frontline health care workers engaged in direct diagnosis, treatment, and care of patients with COVID-19 were associated with a higher risk of symptoms of depression (OR, 1.52; 95% CI, 1.11-2.09;<i>P</i> = .01), anxiety (OR, 1.57; 95% CI, 1.22-2.02;<i>P</i> &lt; .001), insomnia (OR, 2.97; 95% CI, 1.92-4.60;<i>P</i> &lt; .001), and distress (OR, 1.60; 95% CI, 1.25-2.04;<i>P</i> &lt; .001).</p><h3>Conclusions and Relevance</h3><p>In this survey of heath care workers in hospitals equipped with fever clinics or wards for patients with COVID-19 in Wuhan and other regions in China, participants reported experiencing psychological burden, especially nurses, women, those in Wuhan, and frontline health care workers directly engaged in the diagnosis, treatment, and care for patients with COVID-19.</p>",2020,,JAMA Network Open,3,3,e203976-e203976,,10.1001/jamanetworkopen.2020.3976,12441,#11724,Lai 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Ethics, social science, economics",24-03-20
Skin damage among healthcare workers managing coronavirus disease-2019,"Lan, J.; Song, Z.; Miao, X.; Li, H.; Li, Y.; Dong, L.; Yang, J.; An, X.; Zhang, Y.; Yang, L.; Zhou, N.; Li, J.; Cao, J.; Wang, J.; Tao, J.",,2020,,Journal of the American Academy of Dermatology,,,,32171808,10.1016/j.jaad.2020.03.014,14252,#12908,Lan 2020,,"Clinical aspects, diagnosis, treatment; Ethics, social science, economics",24-03-20
COVID-19: protecting health-care workers,"Lancet, The",,2020,,,395,,922-922,,10.1016/S0140-6736(20)30644-9,12479,#11727,Lancet 2020,,"* Opinion piece; Ethics, social science, economics; Infection prevention and control",24-03-20
Should biologics for psoriasis be interrupted in the era of COVID-19?,"Lebwohl, Mark; Rivera-Oyola, Ryan; Murrell, Dedee F.",,2020,,,,,,,10.1016/j.jaad.2020.03.031,12470,#11728,Lebwohl 2020,,"Clinical aspects, diagnosis, treatment; Infection prevention and control; Virology, immunology",24-03-20
Aerosol formation during non-contact &quot;air-puff&quot; tonometry and its significance for prevention of COVID-19,"LI, Chunchun; TANG, Yuan; CHEN, Zhangyan; WANG, Aisun; HUANG, Xiaoqiong; CHEN, Yanyan; QU, Jia","To evaluate the aerosol concentration(PM2.5,PM10.0 and aerosol particle number) formation in non-contact &quot;air-puff&quot; tonometry and provide suggestions for medical workers to take appropriate daily protection during the prevalence of 2019-nCoV.;;Methods;A cross-sectional study was carried out in this study. Thirty healthy subjects were enrolled on February 22, 2020 at Eye Hospital of Wenzhou Medical University. The intraocular pressure (IOP) was measured by non-contact &quot;air-puff&quot; tonometer in the ophthalmic consulting room and the hall with or without masks. PM2.5, PM10.0 and aerosol particles were recorded by air quality detector. The cumulative effects of IOP measurement, PM2.5, PM10.0 and aerosol particle number were analyzed, and the aerosol density of subjects with and without masks was compared.;;Results;The PM2.5, PM10.0 and aerosol particles produced by the non-contact &quot;air-puff&quot; tonometry and increased with the increase of spray times. The IOP curves of 60 eyes of 30 subjects were measured respectively in two environments of medical consulting room and medical institution hall. It was found that PM2.5, pm10.0 and particle number fluctuated and increased with the increase of IOP measurement person times, showing cumulative effect, and the accumulation speed of aerosol density in hall was faster than that in consulting room. The density of PM2.5 and PM10.0 produced without gauze mask were (53.417&plusmn;2.306) and (85.350&plusmn; 3.488) &mu;g/m&lt;sup&gt;3&lt;/sup&gt;, which were higher than those of (50.567&plusmn;0.862) and (80.617&plusmn;1.463) &mu;g/m&lt;sup&gt;3&lt;/sup&gt; with gauze mask. The differences were statistically significant (&lt;italic&gt;P&lt;/italic&gt;=0.028, 0.019).;;Conclusions;Aerosol can be produced by non-contact &quot;air-puff&quot; tonometer spraying, and it fluctuates with the increase of spraying times, showing a cumulative effect. The aerosol accumulation is higher in the hall with insufficient air circulation. And more aerosol can be produced without gauze mask. ;",2020,,Chinese Journal of Experimental Ophthalmology,38,0,E010-E010,,,12734,#11731,LI 2020,,Infection prevention and control,24-03-20
Updated approaches against SARS-CoV-2,"Li, Haiou; Zhou, Yunjiao; Zhang, Meng; Wang, Haizhou; Zhao, Qiu; Liu, Jing","<p>The novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) lies behind the ongoing outbreak of coronavirus disease 2019 (COVID-19). There is a growing understanding of SARS-CoV-2 in the virology, epidemiology and clinical management strategies. However, no anti-SARS-CoV-2 drug or vaccine has been officially approved due to the absence of adequate evidence. Scientists are racing towards the development of treatment for COVID-19. Recent studies have revealed many attractive threptic options, even if some of them remain to be further confirmed in rigorous preclinical models and clinical trials. In this minireview, we aim to summarize the updated potential approaches against SARS-CoV-2. We emphasize that further efforts are warranted to develop the safest and most effective approach.</p>",2020,,Antimicrobial Agents and Chemotherapy,,,,,10.1128/AAC.00483-20,12439,#11740,Li 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Vaccines; Virology, immunology",24-03-20
